item,carbon_footprint_kg_per_kg,category,sustainable_alternative
chicken,6.9,meat,lentils (legumes, nitrogen-fixing for soil)
salmon,20.0,fish,mackerel (sustainable wild-caught)
tuna,6.1,fish,sardines (low trophic level, abundant)
eggs,4.8,dairy,fortified plant eggs (e.g., Just Egg, no animal farming)
milk,3.2,dairy,oat milk (low water, renewable)
cheese,28.0,dairy,almond cheese (nut-based, lower methane)
yogurt,2.2,dairy,coconut yogurt (tropical, but local if possible)
butter,14.0,dairy,avocado (plant fat, nutrient-dense)
rice,2.7,grains,quinoa (ancient grain, drought-resistant)
wheat_bread,1.4,grains,sourdough (fermented, reduces waste)
pasta,1.3,grains,whole grain pasta (local wheat, fiber boost)
potatoes,0.3,vegetable,sweet potatoes (similar, more vitamins)
carrots,0.2,vegetable,beets (root veggies, seasonal)
spinach,0.4,vegetable,kale (leafy greens, hardy crop)
broccoli,0.4,vegetable,cauliflower (cruciferous, versatile)
tomatoes,1.4,vegetable,cherry tomatoes (local greenhouse, less transport)
lettuce,0.3,vegetable,arugula (fast-growing, pesticide-light)
apples,0.4,fruit,local pears (tree fruit, in-season low transport)
bananas,0.8,fruit,oranges (citrus, vitamin C alternative)
avocados,2.5,fruit,seasonal berries (strawberries, lower water needs)
strawberries,0.4,fruit,blueberries (antioxidants, pollinator-friendly)
oranges,0.4,fruit,grapefruit (citrus family, similar freshness)
almonds,2.1,nuts,peanuts (legume nut, less irrigation)
peanuts,0.8,nuts,sunflower seeds (easy to grow, omega-3s)
chocolate,19.0,snack,dark chocolate (cocoa fair-trade, minimal sugar)
cookies,3.5,snack,oat bars (homemade, whole ingredients)
chips,2.0,snack,popcorn (corn-based, air-popped low oil)
coffee,3.3,beverage,tea (herbal, lower deforestation risk)
wine,2.5,beverage,local beer (short supply chain)
soy_milk,0.8,dairy,pea milk (innovative, low allergen)
tofu,2.0,protein,edamame (whole soy, fresh protein)
quinoa,1.6,grains,millet (gluten-free, water-efficient)
oats,0.9,grains,barley (ancient, soil health benefits)
beans,0.8,protein,peas (nitrogen-fixing, versatile)
lentils,0.9,protein,chickpeas (hummus base, global staple)
mushrooms,0.4,vegetable,shiitake (fungi, no tilling needed)
onions,0.4,vegetable,garlic (alliums, flavor enhancers)
peppers,0.9,vegetable,zucchini (summer squash, prolific yield)
cabbage,0.3,vegetable,brussels sprouts (brassica, cold-hardy)
lemons,0.9,fruit,limes (citrus, interchangeable in recipes)
honey,1.2,sweetener,maple syrup (tree sap, sustainable tapping)
sugar,0.6,sweetener,date syrup (fruit-based, natural)
olive_oil,3.2,oil,canola oil (rapeseed, lower land use)
coconut_oil,1.5,oil,sunflower oil (annual crop, high yield)
bread,1.4,grains,flatbread (e.g., naan with local flour)
pizza,4.0,snack,veggie wrap (tortilla with plants, customizable)
ice_cream,3.0,dairy,sorbet (fruit-based, dairy-free)